OBJECTID,ID,CODIGO_DANE,NOMBRE,PUEBLO,DEPARTAMENTO,MUNICIPIO,Municipio_Nombre,En_Area_Estudio,ULTIMO_TIPO_ACTO_ADMIN,ULTIMO_NUMERO_ACTO_ADMIN,ULTIMA_FECHA_ACTO_ADMIN,AREA_TOTAL_ACTOS_ADMIN,ULTIMO_NUMERO_PLANO,GlobalID
153,10206,1158,Resguardo Indígena Kokonuco y Yanacona de Paletara,KOKONUCO YANACONA,19,19585,Puracé,0,RESOLUCION,5,2002-02-27,54.764.672,P -466.534,{DA1A58A2-6F03-45A3-BDB1-44F5E3BF16BA}
789,10199,1816,Resguardo Indígena Nasa Cxhab Wala Luucx,NASA,19,19517,Páez,0,ACUERDO,327,2023-12-18,4.943.067,ACCTI 0241195172247,{0B27A97C-2EBD-4CDC-9072-55AAE5DFE572}
392,10209,1704,Resguardo Indígena Nasa Paez - Pickwe Tha Fiw,PAEZ,19,19517,Páez,0,ACUERDO,372,2024-05-31,7.698.699,ACCTI 02419517279,{EF38BB02-66A3-4F1F-A72D-8288B826B0CF}
417,11481,1888,Resguardo Indígena Inti Yaku,YANACONA,19,19622,Rosas,0,ACUERDO,185,2021-10-26,218.872,ACCTI 19622868,{B7D08644-90BE-4C0B-9E86-EB79518B25A1}
656,10207,1782,Resguardo Indígena Papallaqta,YANACONA,19,19693,San Sebastián,0,RESOLUCION,180,2021-09-23,2.185.358,ACCTI 19693977,{0ED89DC1-A819-4FE1-8BB6-19AD8D6C6F49}
39,10226,1668,Resguardo Indígena Inga San Joaquin,INGA,19,19701,Santa Rosa,0,RESOLUCION,556,2025-12-10,1.678.532,ACCTI024860015459,{E10C8D14-1904-4A98-A431-9E9B38AC1841}
424,10196,1698,Resguardo Indígena Inga de Mandiyaco,INGA,19,19701,Santa Rosa,0,RESOLUCION,235,2022-06-30,164.184.425,ACCTI 197011388,{232A4E27-8E0E-4A6B-A4BF-D564F620C1AE}
781,10850,SIN ASIGNAR,Resguardo Indígena Yanacona Descanse,YANACONA,19,19701,Santa Rosa,0,ACUERDO,322,2023-12-06,264.889.436,ACCTI 0231197012242,{AFA10871-1F2C-446D-B3F9-929CAF705EF8}
402,10230,1584,Resguardo Indígena Yanacona de Santa Marta,YANACONA,19,19701,Santa Rosa,0,RESOLUCION,265,2023-03-23,131.416.838,ACCTI 197011592,{07764731-3E43-4F02-B7BF-40EC06B38100}
515,10201,1785,Resguardo Indígena Nasa Kiwe Tekh Ksxaw,NASA,19,19698,Santander de Quilichao,1,RESOLUCION,289,2012-08-28,664.071,19-0698-05334,{AF2B022B-5AFB-464F-980E-EA13BB42069F}
334,10220,1163,Resguardo Indígena Paez de Guadualito,PAEZ,19,19698,Santander de Quilichao,1,RESOLUCION,300,2023-09-25,9.221.283,ACCTI 241196982056,{C150B4D3-71B1-4A16-9CE0-0A11BF95D195}
293,10168,1162,Resguardo indígena Canoas,NASA,19,19698,Santander de Quilichao,1,ACUERDO,390,2024-09-26,12.296.586,ACCTI02419698600,{5ED1D1ED-DA62-4FDE-B766-299A6AEF9A76}
182,10223,1171,Resguardo Indígena Paez de Tumburao,PAEZ,19,19743,Silvia,0,RESOLUCION,4,1993-02-09,724.736,P-425.129 / P-344.782 / P-344.783 / P-393.500,{9A7E8930-556C-4BBE-8DAC-0863B51F21F8}
111,10184,1170,Resguardo Indígena Quizgo (Kizgo),PAEZ,19,19743,Silvia,0,RESOLUCION,129,2020-08-27,4.282.785,P-425.664/P-466.293,{BEF0EE53-99ED-42F9-8E66-8958C11D740E}
742,10165,1166,Resguardo Indígena de Ambalo,PAEZ GUAMBIA,19,19743,Silvia,0,RESOLUCION,29,1991-11-12,27.160.022,P-466.031,{F9C4AEBF-97B5-4063-9A9C-8388075F82C1}
773,10172,1783,Resguardo Indígena Nasa Paez El Peñon,PAEZ,19,19760,Sotará,0,ACUERDO,415,2024-11-14,1.350.332,ACCTI 02419760781,{A898FFA3-424D-4808-BD0E-2C52951739B0}
126,10225,1833,Resguardo Indígena Nasa de Cerro Tijeras,NASA,19,19780,Suárez,0,RESOLUCION,40,2017-12-11,3.623.439,ACCTI 1978023,{73EA2609-4105-4C3B-90F7-7C9E8150ADF6}
528,10219,1174,Resguardo Indígena Embera - Cholo Del Rio Guangüi,EMBERA,19,19809,Timbiquí,0,RESOLUCION,91,1982-07-27,24140,SIN INFORMACION,{20E580DA-5DE8-4D92-9AC9-E2906A9D3808}
230,10163,1647,"Resguardo Indígena Embera Almorzadero, San Isidro y la Nueva Union",EPERARA SIAPIDARA,19,19809,Timbiquí,0,RESOLUCION,15,2002-12-10,49.287.476,I-630.381,{77DEAEAD-CFFC-43D5-98A0-98B22D3B1666}
288,10177,1175,Resguardo Indígena Embera asentada en la Zona Infi,EMBERA,19,19809,Timbiquí,0,RESOLUCION,95,1982-07-27,4200,SIN INFORMACION,{B586B3F2-7EF5-4A0A-9D73-6EC5D3454FDB}
180,10229,1173,Resguardo Indígena Emebera Calle Santa Rosa,EMBERA,19,19809,Timbiquí,0,RESOLUCION,14,1983-05-03,21320,263419,{9D40AE33-687E-4DC2-8944-A4B6754615CE}
280,10183,1825,Resguardo Indígena Nasa de Kitek Kiwe,NASA,19,19807,Timbío,0,ACUERDO,21,2017-06-27,411.603,017536AE19807,{C5682F81-1BFC-4400-A1BC-E241920D9768}
630,10202,1180,Resguardo Indígena Paez de Novirao,PAEZ,19,19824,Totoró,0,RESOLUCION,70,1992-11-10,1053.9,P-393.021 / P-394.299 / P-466.276,{72E16BAE-87EF-48BD-9C29-29B513A6FC8B}
116,10181,1179,Resguardo Indígena de Jebala,NASA PAEZ,19,19824,Totoró,0,RESOLUCION,510,2025-08-20,650.523,ACCTI02419844133 - ACCTI024198244138,{B030CAB0-9C95-4CCA-9AF0-471CE9B11F33}
371,10213,1182,Resguardo Indígena de Polindara,PAEZ,19,19824,Totoró,0,RESOLUCION,10,2003-04-10,22.228.675,G-638.6444,{1A350A12-4864-4BD9-B27E-CB39A1C99E04}
